;Version;Bit Type;Variable;Default Value;Variable;Condition;value;TypeNo;Comments
;;B;ucs per viewport;;;;;;
;;3BD;ucs origin;;;;;;
;;3BD;ucs x axis;;;;;;
;;3BD;ucs y axis;;;;;;
;;BD;ucs elevation;;;;;;
;;BS;ucs ortho view type;;;;;;
;R2004+;;;;;;;;
;;BS;SHADE PLOT MODE;;;;;;
;R2007+;;;;;;;;
;;B;USE DEF LIGHTS;;;;;;
;;RC;def lighting type;;;;;;
;;BD;brightness;;;;;;
;;BD;contrast;;;;;;
;;CMC;ambient light color;;;;;;
;Common;;;;;;;;
;;X;CEHD;;;;;;
;R13-R14;;;;;;;;
;;H;VIEWPORT ENT HEADER;;;;;;
;R2000+;;;;;;;;
;;H;FROZEN LAYERS;;FROZEN LAYER COUNT;RANGE;;;
;;H;CLIP BOUNDARY;;;;;;
;R2000;;;;;;;;
;;H;VIEWPORT ENT HEADER;;;;;;
;R2000+;;;;;;;;
;;H;named ucs;;;;;;
;;H;base ucs;;;;;;
;R2007+;;;;;;;;
;;H;Background;;;;;;
;;H;visual style;;;;;;
;;H;shadeplot id;;;;;;
;;H;sun;;;;;;
;Common;;;;;;;;
;;X;CRC;;;;;;
ellipse;;;;;;;;35;
;Common;;;;;;;;
;;X;CED;;;;;;
;;3BD;center;;;;;;
;;3BD;sm axis vector;;;;;;
;;3BD;extrusion;;;;;;
;;BD;axis ratio;;;;;;
;;BD;starting angle;;;;;;
;;BD;ending angle;;;;;;
;;X;CEHD;;;;;;
;;X;CRC;;;;;;
spline;;;;;;;;36;
;Common;;;;;;;;
;;X;CED;;;;;;
;;BL;scenario;;;;;;
;R2013+;;;;;;;;
;;BL;spline flag 1;;;;;;
;;BL;knot parameter;;;;;;
;Common;;;;;;;;
;;BL;degree;;scenario; == ;2;;
;;BD;fit tolerence;;scenario; == ;2;;
;;3BD;tan vector begin;;scenario; == ;2;;
;;3BD;tan vector end;;scenario; == ;2;;
;;BL;num fit points;;scenario; == ;2;;
;;B;rational;;scenario; == ;1;;
;;B;closed;;scenario; == ;1;;
;;B;periodic;;scenario; == ;1;;
;;BD;knot tol;;scenario; == ;1;;
;;BD;ctrl tol;;scenario; == ;1;;
;;BL;num knots;;scenario; == ;1;;
;;BL;num ctrl points;;scenario; == ;1;;
;;B;weight;;scenario; == ;1;;
;;BD;knot;;num knots;RANGE;;;
;;3BD;control points;;num ctrl points;RANGE;;;
;;BD;weight;;num ctrl points;RANGE;;;
;;3BD;Fit points;;num fit points;RANGE;;;
;;X;CED;;;;;;
;;X;CRC;;;;;;
region;;;;;;;;37;
;Common;;;;;;;;
;;X;CED;;;;;;
;;X;CRC;;;;;;
3DSOLID;;;;;;;;;
;Common;;;;;;;38;
;;X;CED;;;;;;
;;X;CRC;;;;;;
BODY;;;;;;;;;
;Common;;;;;;;39;
;;X;CED;;;;;;
;;X;CRC;;;;;;
Ray;;;;;;;;40;
;Common;;;;;;;;
;;X;CED;;;;;;
;;3BD;Point;;;;;;
;;3BD;Vector;;;;;;
;;X;CEHD;;;;;;
;;X;CRC;;;;;;
Xline;;;;;;;;41;
;Common;;;;;;;;
;;X;CED;;;;;;
;;3BD;Point;;;;;;
;;3BD;Vector;;;;;;
;;X;CEHD;;;;;;
;;X;CRC;;;;;;
dictionary;;;;;;;;42;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;Num_Entries;;;;;;
;R14;;;;;;;;
;;RC;Unknown;;;;;;
;R2000+;;;;;;;;
;;BS;cloning flag;;;;;;
;;RC;hard owner flag;;;;;;
;Common;;;;;;;;
;;TV;Text;;Num_Entries;RANGE;;;
;;H;Handle refs;;;;;;
;;H;reactors;;num_reactors;RANGE;;;
;;H;xdicobjhandle;;;;;;
;;H;itemhandles;;Num_Entries;RANGE;;;
;;X;CRC;;;;;;
dictionarywdflt;;;;;;;;43;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;Num_Entries;;;;;;
;R14;;;;;;;;
;;RC;Unknown;;;;;;
;R2000+;;;;;;;;
;;BS;cloning flag;;;;;;
;;RC;hard owner flag;;;;;;
;Common;;;;;;;;
;;TV;Text;;Num_Entries;RANGE;;;
;;H;Handle refs;;;;;;
;;H;reactors;;num_reactors;RANGE;;;
;;H;xdicobjhandle;;;;;;
;;H;itemhandles;;Num_Entries;RANGE;;;
;;H;default;;;;;;
;;X;CRC;;;;;;
MTEXT;;;;;;;;44;
;Common;;;;;;;;
;;X;CED;;;;;;
;;3BD;Insertion_Point;;;;;;
;;3BD;Extrusion;;;;;;
;;3BD;X_axis_direction;;;;;;
;;BD;Rectangle_Width;;;;;;
;R2007+;;;;;;;;
;;BD;Rectangle_Height;;;;;;
;Common;;;;;;;;
;;BD;Text_Height;;;;;;
;;BS;Attachment;;;;;;
;;BS;Brawing_Direction;;;;;;
;;BD;Extents_Height;;;;;;
;;BD;Extents_Width;;;;;;
;;TV;Text;;;;;;
;R2000+;;;;;;;;
;;BS;Linespacing_Style;;;;;;
;;BD;Linespacing_Factor;;;;;;
;;B;Unknown_Bit;;;;;;
;R2004+;;;;;;;;
;;BL;Background_Flags;;;;;;
;;BL;Background_Scale_Factor;;Background_Flags; == ;0x01;;
;;CMC;Background_color;;Background_Flags; == ;0x01;;
;;BL;Background_Transparency;;Background_Flags; == ;0x01;;
;R2008+;;;;;;;;
;;B;Not_Annotative;;;;;;
;;BS;Version;;Not_Annotative; == ;1;;
;;B;Default;;;;;;
;;H;Registered_Application;;;;;;
;;BL;Attachment_point;;;;;;
;;3BD;x_direction;;;;;;
;;3BD;Insertion_point;;;;;;
;;BD;rectangle_width;;;;;;
;;BD;rectangle_height;;;;;;
;;BD;Extents_width;;;;;;
;;BD;Extents_height;;;;;;
;Common;;;;;;;;
;;H;Unknown;;;;;;
;;X;CEHD;;;;;;
;;X;CRC;;;;;;
leader;;;;;;;;45;
;Common;;;;;;;;
;;X;CED;;;;;;
;;B;unknown1;;;;;;
;;BS;annotation type;;;;;;
;;BS;pth type;;;;;;
;;BL;num points;;;;;;
;;3BD;point;;;;;;
;;3BD;origin;;;;;;
;;3BD;extrusion;;;;;;
;;3BD;x direction;;;;;;
;;3BD;offset block ins point;;;;;;
;R14+;;;;;;;;
;;3BD;end point projection;;;;;;
;R13-R14;;;;;;;;
;;BD;dim gap;;;;;;
;Common;;;;;;;;
;;BD;box height;;;;;;
;;BD;box weidth;;;;;;
;;B;hook line on x dir;;;;;;
;;B;arrowhead flag;;;;;;
