;Version;Bit Type;Variable;Variable;Condition;value
;;H ; DICTIONARY_LAYOUTS (hard pointer);;;
;;H ; DICTIONARY_PLOTSETTINGS (hard pointer);;;
;;H ; DICTIONARY_PLOTSTYLES (hard pointer);;;
;R2004+;;;;;
;;H ; DICTIONARY_MATERIALS (hard pointer);;;
;;H ; DICTIONARY_COLORS (hard pointer);;;
;R2007+;;;;;
;;H ; DICTIONARY_VISUALSTYLE (hard pointer);;;
;R2013+;;;;;
;;H ; UNKNOWN_18 (hard pointer);;;
;R2000+;;;;;
;;BL ; Flags;;;
;;BS ; INSUNITS;;;
;;BS ; CEPSNTYPE;;;
;;H ; CPSNID;CEPSNTYPE; == ;3
;;TV ; FINGERPRINTGUID;;;
;;TV ; VERSIONGUID;;;
;R2004+;;;;;
;;RC ; SORTENTS;;;
;;RC ; INDEXCTL;;;
;;RC ; HIDETEXT;;;
;;RC ; XCLIPFRAME;;;
;;RC ; DIMASSOC;;;
;;RC ; HALOGAP;;;
;;BS ; OBSCUREDCOLOR;;;
;;BS ; INTERSECTIONCOLOR;;;
;;RC ; OBSCUREDLTYPE;;;
;;RC ; INTERSECTIONDISPLAY;;;
;;TV ; PROJECTNAME;;;
;Common;;;;;
;;H ; BLOCK_RECORD_PS (*PAPER_SPACE) (hard pointer);;;
;;H ; BLOCK_RECORD_MS (*MODEL_SPACE) (hard pointer);;;
;;H ; LTYPE_BYLAYER (hard pointer);;;
;;H ; LTYPE_BYBLOCK (hard pointer);;;
;;H ; LTYPE_CONTINUOUS (hard pointer);;;
;R2007+;;;;;
;;B ; CAMERADISPLAY;;;
;;BL ; Unknown_19;;;
;;BL ; Unknown_20;;;
;;BD ; Unknown_21;;;
;;BD ; STEPSPERSEC;;;
;;BD ; STEPSIZE;;;
;;BD ;DWFPREC_3D;;;
;;BD ; LENSLENGTH;;;
;;BD ; CAMERAHEIGHT;;;
;;RC ; SOLIDHIST;;;
;;RC ; SHOWHIST;;;
;;BD ; PSOLWIDTH;;;
;;BD ; PSOLHEIGHT;;;
;;BD ; LOFTANG1;;;
;;BD ; LOFTANG2;;;
;;BD ; LOFTMAG1;;;
;;BD ; LOFTMAG2;;;
;;BS ; LOFTPARAM;;;
;;RC ; LOFTNORMALS;;;
;;BD ; LATITUDE;;;
;;BD ; LONGITUDE;;;
;;BD ; NORTHDIRECTION;;;
;;BL ; TIMEZONE;;;
;;RC ; LIGHTGLYPHDISPLAY;;;
;;RC ; TILEMODELIGHTSYNCH;;;
;;RC ; DWFFRAME;;;
;;RC ; DGNFRAME;;;
;;B ; Unknown_22;;;
;;CMC ; INTERFERECOLOR;;;
;;H ; INTERFEREOBJVS (hard pointer);;;
;;H ; INTERFEREVPVS (hard pointer);;;
;;H ; DRAGVS (hard pointer);;;
;;RC ; CSHADOW;;;
;;BD ; Unknown_23;;;
;R14+;;;;;
;;BS ; Unknown_24;;;
;;BS ; Unknown_25;;;
;;BS ; Unknown_26;;;
;;BS ; Unknown_27;;;
